departamento;municipio;armas medios;cantidad;dia;mes;periodo;diasem
huila;hobo;arma de fuego;1;25;6;2014;4
valle;caicedonia;arma de fuego;1;5;7;2014;7
valle;cali (ct);arma de fuego;1;17;7;2014;5
meta;acacias;arma de fuego;1;18;7;2014;6
atlantico;puerto colombia;arma de fuego;1;25;7;2014;6
atlantico;barranquilla (ct);arma de fuego;1;4;8;2014;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;8;2014;3
quindio;la tebaida;arma de fuego;1;11;8;2014;2
bolivar;cartagena (ct);arma de fuego;1;13;8;2014;4
santander;bucaramanga (ct);arma de fuego;1;20;8;2014;4
bolivar;calamar;sin empleo de armas;1;22;8;2014;6
casanare;villanueva;arma de fuego;1;26;8;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;1;9;2014;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;2;9;2014;3
meta;villavicencio (ct);arma de fuego;1;4;9;2014;5
tolima;ibague (ct);arma de fuego;1;4;9;2014;5
magdalena;santa ana;arma de fuego;1;9;9;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;12;9;2014;6
santander;bucaramanga (ct);arma de fuego;1;15;9;2014;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;9;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;9;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;9;2014;5
atlantico;soledad;arma de fuego;1;26;9;2014;6
huila;neiva (ct);arma de fuego;1;26;9;2014;6
meta;acacias;arma de fuego;1;26;9;2014;6
antioquia;copacabana;arma de fuego;1;1;10;2014;4
boyaca;tunja (ct);arma de fuego;1;9;10;2014;5
meta;puerto gaitan;sin empleo de armas;1;10;10;2014;6
bolivar;cartagena (ct);arma de fuego;1;14;10;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;15;10;2014;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;10;2014;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;21;10;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;10;2014;3
sucre;los palmitos;arma de fuego;1;30;10;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;31;10;2014;6
cordoba;san andres sotavento;arma de fuego;1;4;11;2014;3
magdalena;santa ana;arma de fuego;1;5;11;2014;4
antioquia;medellin (ct);arma de fuego;1;6;11;2014;5
narino;pasto (ct);arma de fuego;1;7;11;2014;6
antioquia;la union;arma de fuego;1;10;11;2014;2
antioquia;medellin (ct);sin empleo de armas;1;10;11;2014;2
antioquia;medellin (ct);arma de fuego;1;13;11;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;11;2014;6
cundinamarca;anapoima;arma de fuego;1;24;11;2014;2
atlantico;puerto colombia;arma de fuego;1;28;11;2014;6
casanare;villanueva;arma de fuego;1;28;11;2014;6
meta;acacias;arma de fuego;1;28;11;2014;6
antioquia;chigorodo;contundentes;1;9;12;2014;3
valle;san pedro;cortantes;1;10;12;2014;4
cordoba;tierralta;arma de fuego;1;18;12;2014;5
boyaca;puerto boyaca;contundentes;1;18;12;2014;5
antioquia;rionegro;sin empleo de armas;1;19;12;2014;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;6;1;2015;3
magdalena;chibolo;contundentes;1;7;1;2015;4
antioquia;medellin (ct);arma de fuego;1;9;1;2015;6
valle;yumbo;arma de fuego;1;13;1;2015;3
antioquia;copacabana;arma de fuego;1;15;1;2015;5
cauca;lopez;arma de fuego;1;16;1;2015;6
cesar;curumani;sin empleo de armas;1;25;1;2015;1
bolivar;cartagena (ct);arma de fuego;1;28;1;2015;4
valle;cali (ct);arma de fuego;1;28;1;2015;4
magdalena;santa marta (ct);arma de fuego;1;29;1;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;30;1;2015;6
atlantico;barranquilla (ct);arma de fuego;1;10;2;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;12;2;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;17;2;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;2;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;24;2;2015;3
atlantico;barranquilla (ct);arma de fuego;1;27;2;2015;6
meta;villavicencio (ct);arma de fuego;1;27;2;2015;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;6;3;2015;6
antioquia;penol;arma de fuego;1;10;3;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;3;2015;3
santander;bucaramanga (ct);arma de fuego;1;11;3;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;16;3;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;3;2015;4
sucre;santiago de tolu;arma de fuego;1;18;3;2015;4
santander;bucaramanga (ct);arma de fuego;1;19;3;2015;5
cordoba;lorica;arma de fuego;1;20;3;2015;6
valle;cali (ct);arma de fuego;1;25;3;2015;4
valle;cali (ct);arma de fuego;1;26;3;2015;5
risaralda;dosquebradas;arma de fuego;1;30;3;2015;2
antioquia;penol;arma de fuego;1;1;4;2015;4
valle;cali (ct);arma de fuego;2;6;4;2015;2
risaralda;pereira (ct);arma de fuego;1;8;4;2015;4
antioquia;medellin (ct);arma de fuego;1;10;4;2015;6
risaralda;pereira (ct);arma de fuego;1;15;4;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;16;4;2015;5
atlantico;puerto colombia;arma de fuego;1;18;4;2015;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;21;4;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;4;2015;5
cesar;chiriguana;arma de fuego;1;24;4;2015;6
guajira;riohacha (ct);arma de fuego;1;24;4;2015;6
atlantico;barranquilla (ct);arma de fuego;1;3;5;2015;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;4;5;2015;2
meta;guamal;arma de fuego;1;6;5;2015;4
valle;cali (ct);arma de fuego;1;7;5;2015;5
antioquia;medellin (ct);arma de fuego;1;8;5;2015;6
amazonas;leticia (ct);arma de fuego;1;11;5;2015;2
valle;cali (ct);arma de fuego;1;19;5;2015;3
cesar;valledupar (ct);arma de fuego;1;22;5;2015;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;5;2015;2
santander;barrancabermeja;arma de fuego;1;25;5;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;5;2015;3
meta;acacias;arma de fuego;1;28;5;2015;5
sucre;galeras;arma de fuego;1;2;6;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;3;4;6;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;24;6;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;6;2015;5
cordoba;cienaga de oro;arma de fuego;1;1;7;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;7;7;2015;3
antioquia;ciudad bolivar;contundentes;1;13;7;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;15;7;2015;4
valle;cali (ct);arma de fuego;1;22;7;2015;4
valle;jamundi;arma de fuego;1;24;7;2015;6
antioquia;medellin (ct);arma de fuego;1;30;7;2015;5
antioquia;medellin (ct);sin empleo de armas;1;3;8;2015;2
risaralda;dosquebradas;arma de fuego;1;4;8;2015;3
magdalena;cerro san antonio;contundentes;1;9;8;2015;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;8;2015;2
antioquia;medellin (ct);arma de fuego;1;11;8;2015;3
cesar;aguachica;arma de fuego;1;18;8;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;8;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;8;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;8;2015;4
valle;cali (ct);arma de fuego;1;1;9;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;2;9;2015;4
risaralda;pereira (ct);arma de fuego;1;2;9;2015;4
antioquia;fredonia;arma de fuego;1;5;9;2015;7
guajira;riohacha (ct);arma de fuego;1;8;9;2015;3
antioquia;caldas;arma de fuego;1;12;9;2015;7
antioquia;la estrella;contundentes;1;13;9;2015;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;16;9;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma blanca / cortopunzante;1;17;9;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;9;2015;6
antioquia;caldas;arma de fuego;1;22;9;2015;3
meta;villavicencio (ct);arma de fuego;1;22;9;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;9;2015;7
valle;cali (ct);arma de fuego;1;30;9;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;6;10;2015;3
cundinamarca;fusagasuga;arma de fuego;1;9;10;2015;6
cundinamarca;soacha;arma de fuego;1;9;10;2015;6
antioquia;bello;arma de fuego;1;13;10;2015;3
magdalena;fundacion;arma de fuego;1;16;10;2015;6
risaralda;pereira (ct);arma de fuego;1;16;10;2015;6
antioquia;medellin (ct);arma de fuego;1;19;10;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;20;10;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;10;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;3;11;2015;3
valle;cali (ct);arma de fuego;1;4;11;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;11;11;2015;4
cesar;aguachica;arma de fuego;1;12;11;2015;5
antioquia;medellin (ct);arma de fuego;1;23;11;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;11;2015;5
magdalena;santa marta (ct);arma de fuego;1;27;11;2015;6
bolivar;cartagena (ct);sin empleo de armas;1;29;11;2015;1
antioquia;amalfi;contundentes;1;2;12;2015;4
cundinamarca;la calera;contundentes;1;3;12;2015;5
antioquia;medellin (ct);arma de fuego;1;11;12;2015;6
antioquia;santafe de antioquia;arma de fuego;1;11;12;2015;6
bogota d.c. (ct);bogota d.c. (ct);sin empleo de armas;1;11;12;2015;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;16;12;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;22;12;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;12;2015;4
antioquia;la estrella;arma de fuego;1;24;12;2015;5
atlantico;malambo;arma de fuego;1;24;12;2015;5
cesar;valledupar (ct);sin empleo de armas;1;30;12;2015;4
risaralda;pereira (ct);arma de fuego;1;4;1;2016;2
cundinamarca;guatavita;artefacto explosivo/carga dinamita;1;4;1;2016;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;1;2016;3
magdalena;santa marta (ct);arma de fuego;1;7;1;2016;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;13;1;2016;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;1;2016;5
cundinamarca;simijaca;artefacto explosivo/carga dinamita;1;15;1;2016;6
antioquia;bello;arma de fuego;1;20;1;2016;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;20;1;2016;4
santander;bucaramanga (ct);arma de fuego;1;21;1;2016;5
norte de santander;convencion;arma de fuego;1;28;1;2016;5
bogota d.c. (ct);bogota d.c. (ct);sin empleo de armas;1;28;1;2016;5
bolivar;cartagena (ct);arma de fuego;1;30;1;2016;7
boyaca;tibana;contundentes;1;30;1;2016;7
magdalena;santa marta (ct);arma de fuego;1;1;2;2016;2
bogota d.c. (ct);bogota d.c. (ct);sin empleo de armas;1;1;2;2016;2
antioquia;medellin (ct);arma de fuego;1;4;2;2016;5
atlantico;soledad;arma de fuego;1;4;2;2016;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;9;2;2016;3
antioquia;bello;arma de fuego;1;16;2;2016;3
magdalena;plato;arma de fuego;1;16;2;2016;3
bogota d.c. (ct);bogota d.c. (ct);sin empleo de armas;1;17;2;2016;4
guajira;riohacha (ct);contundentes;1;22;2;2016;2
atlantico;barranquilla (ct);arma de fuego;1;25;2;2016;5
cesar;agustin codazzi;arma de fuego;1;27;2;2016;7
atlantico;malambo;sin empleo de armas;1;4;3;2016;6
antioquia;bello;arma de fuego;1;9;3;2016;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;9;3;2016;4
antioquia;medellin (ct);arma de fuego;1;10;3;2016;5
huila;neiva (ct);arma de fuego;1;10;3;2016;5
sucre;ovejas;arma de fuego;1;11;3;2016;6
antioquia;bello;arma de fuego;1;12;3;2016;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;3;2016;4
norte de santander;cucuta (ct);arma de fuego;1;23;3;2016;4
antioquia;medellin (ct);punzantes;1;23;3;2016;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;29;3;2016;3
santander;barrancabermeja;arma de fuego;1;5;4;2016;3
atlantico;soledad;arma de fuego;1;9;4;2016;7
antioquia;caucasia;sin empleo de armas;1;11;4;2016;2
antioquia;medellin (ct);arma de fuego;1;12;4;2016;3
antioquia;medellin (ct);arma de fuego;1;20;4;2016;4
atlantico;barranquilla (ct);arma de fuego;1;21;4;2016;5
antioquia;medellin (ct);arma de fuego;1;27;4;2016;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;4;2016;5
cesar;agustin codazzi;arma de fuego;1;29;4;2016;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;30;4;2016;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;12;5;2016;5
norte de santander;cucuta (ct);arma de fuego;1;13;5;2016;6
magdalena;santa marta (ct);contundentes;1;19;5;2016;5
antioquia;santafe de antioquia;arma de fuego;1;20;5;2016;6
bolivar;cartagena (ct);arma de fuego;1;1;6;2016;4
atlantico;barranquilla (ct);arma de fuego;1;3;6;2016;6
antioquia;medellin (ct);arma de fuego;1;7;6;2016;3
atlantico;barranquilla (ct);arma de fuego;1;8;6;2016;4
atlantico;soledad;arma de fuego;1;16;6;2016;5
antioquia;bello;arma de fuego;1;17;6;2016;6
atlantico;barranquilla (ct);arma de fuego;1;21;6;2016;3
guajira;riohacha (ct);arma de fuego;1;22;6;2016;4
antioquia;medellin (ct);arma de fuego;1;27;6;2016;2
cordoba;puerto libertador;arma de fuego;1;28;6;2016;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;6;2016;3
antioquia;medellin (ct);arma de fuego;1;5;7;2016;3
norte de santander;cucuta (ct);arma de fuego;1;5;7;2016;3
antioquia;medellin (ct);arma de fuego;1;7;7;2016;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;7;7;2016;5
guajira;albania;arma de fuego;1;7;7;2016;5
atlantico;barranquilla (ct);arma de fuego;1;8;7;2016;6
bolivar;cartagena (ct);arma de fuego;1;12;7;2016;3
tolima;mariquita;arma de fuego;1;12;7;2016;3
bolivar;cartagena (ct);arma de fuego;1;14;7;2016;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;7;2016;5
sucre;sincelejo (ct);arma de fuego;1;21;7;2016;5
antioquia;medellin (ct);arma de fuego;1;25;7;2016;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;7;2016;3
antioquia;bello;arma de fuego;1;28;7;2016;5
santander;barrancabermeja;arma de fuego;2;30;7;2016;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;4;8;2016;5
antioquia;caucasia;arma de fuego;1;5;8;2016;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;8;2016;6
antioquia;medellin (ct);contundentes;1;8;8;2016;2
antioquia;envigado;arma de fuego;1;10;8;2016;4
bolivar;cartagena (ct);arma de fuego;1;10;8;2016;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;8;2016;4
atlantico;barranquilla (ct);arma de fuego;1;11;8;2016;5
atlantico;sabanalarga;contundentes;1;13;8;2016;7
antioquia;medellin (ct);arma de fuego;1;18;8;2016;5
santander;bucaramanga (ct);arma de fuego;1;18;8;2016;5
atlantico;barranquilla (ct);arma de fuego;1;19;8;2016;6
cesar;la jagua de ibirico;arma de fuego;1;23;8;2016;3
atlantico;barranquilla (ct);arma de fuego;1;24;8;2016;4
atlantico;barranquilla (ct);arma de fuego;1;26;8;2016;6
boyaca;puerto boyaca;arma de fuego;1;3;9;2016;7
tolima;planadas;arma de fuego;1;6;9;2016;3
meta;acacias;arma de fuego;1;7;9;2016;4
putumayo;villagarzon;arma de fuego;1;9;9;2016;6
antioquia;caldas;arma de fuego;1;16;9;2016;6
santander;bucaramanga (ct);arma de fuego;1;21;9;2016;4
antioquia;caucasia;arma de fuego;1;22;9;2016;5
risaralda;pereira (ct);arma de fuego;1;26;9;2016;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;27;9;2016;3
magdalena;plato;arma de fuego;1;3;10;2016;2
bolivar;cartagena (ct);arma de fuego;1;4;10;2016;3
cundinamarca;girardot;arma de fuego;1;11;10;2016;3
antioquia;envigado;arma de fuego;1;13;10;2016;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;10;2016;3
casanare;yopal (ct);arma de fuego;1;27;10;2016;5
valle;cali (ct);arma de fuego;1;27;10;2016;5
antioquia;envigado;arma de fuego;1;1;11;2016;3
antioquia;rionegro;arma de fuego;1;11;11;2016;6
tolima;ibague (ct);arma de fuego;1;15;11;2016;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;17;11;2016;5
cesar;aguachica;arma de fuego;1;18;11;2016;6
antioquia;medellin (ct);arma de fuego;1;21;11;2016;2
antioquia;medellin (ct);arma de fuego;1;24;11;2016;5
antioquia;medellin (ct);arma de fuego;1;25;11;2016;6
santander;bucaramanga (ct);arma de fuego;1;25;11;2016;6
atlantico;barranquilla (ct);arma de fuego;1;27;11;2016;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;1;12;2016;5
antioquia;san jeronimo;arma de fuego;1;3;12;2016;7
caldas;manizales (ct);arma de fuego;1;6;12;2016;3
risaralda;santa rosa de cabal;arma de fuego;1;7;12;2016;4
norte de santander;cucuta (ct);arma de fuego;1;13;12;2016;3
antioquia;medellin (ct);arma de fuego;1;14;12;2016;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;12;2016;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;21;12;2016;4
bogota d.c. (ct);bogota d.c. (ct);sin empleo de armas;1;29;12;2016;5
antioquia;santa rosa de osos;arma de fuego;1;5;1;2017;5
tolima;mariquita;llave maestra;1;9;1;2017;2
antioquia;medellin (ct);arma de fuego;1;11;1;2017;4
antioquia;la union;arma de fuego;1;18;1;2017;4
cordoba;sahagun;arma de fuego;1;18;1;2017;4
valle;cali (ct);arma de fuego;1;18;1;2017;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;1;2017;5
antioquia;medellin (ct);arma de fuego;1;20;1;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;24;1;2017;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;1;2017;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;27;1;2017;6
antioquia;sonson;arma de fuego;1;28;1;2017;7
santander;bucaramanga (ct);arma de fuego;1;1;2;2017;4
norte de santander;cucuta (ct);arma de fuego;1;2;2;2017;5
cauca;popayan (ct);arma de fuego;1;3;2;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;9;2;2017;5
bogota d.c. (ct);bogota d.c. (ct);arma blanca / cortopunzante;1;10;2;2017;6
valle;zarzal;sin empleo de armas;1;10;2;2017;6
quindio;armenia (ct);arma de fuego;1;14;2;2017;3
valle;cali (ct);sin empleo de armas;1;14;2;2017;3
tolima;ibague (ct);arma de fuego;1;20;2;2017;2
magdalena;santa marta (ct);contundentes;1;20;2;2017;2
santander;barrancabermeja;arma de fuego;2;28;2;2017;3
sucre;sincelejo (ct);arma de fuego;1;2;3;2017;5
bolivar;turbaco;arma de fuego;1;3;3;2017;6
norte de santander;convencion;arma de fuego;1;3;3;2017;6
cundinamarca;chia;contundentes;1;5;3;2017;1
antioquia;medellin (ct);arma de fuego;1;8;3;2017;4
bolivar;arjona;arma de fuego;1;10;3;2017;6
cesar;aguachica;arma de fuego;1;14;3;2017;3
atlantico;soledad;arma de fuego;1;21;3;2017;3
sucre;santiago de tolu;arma de fuego;1;23;3;2017;5
antioquia;medellin (ct);arma de fuego;1;27;3;2017;2
santander;barrancabermeja;arma de fuego;1;30;3;2017;5
valle;cali (ct);arma de fuego;1;4;4;2017;3
atlantico;barranquilla (ct);arma de fuego;1;6;4;2017;5
antioquia;medellin (ct);arma de fuego;1;10;4;2017;2
sucre;sampues;arma de fuego;1;22;4;2017;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;4;2017;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;27;4;2017;5
santander;bucaramanga (ct);arma de fuego;1;27;4;2017;5
valle;cali (ct);arma de fuego;1;28;4;2017;6
guajira;riohacha (ct);arma de fuego;1;8;5;2017;2
norte de santander;cucuta (ct);arma de fuego;1;10;5;2017;4
atlantico;galapa;arma de fuego;1;11;5;2017;5
magdalena;cienaga;arma de fuego;1;11;5;2017;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;5;2017;6
tolima;ibague (ct);arma de fuego;1;1;6;2017;5
antioquia;medellin (ct);arma de fuego;1;5;6;2017;2
santander;bucaramanga (ct);arma de fuego;1;13;6;2017;3
bolivar;cartagena (ct);arma de fuego;1;16;6;2017;6
antioquia;itagui;arma de fuego;1;17;6;2017;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;6;2017;6
cundinamarca;girardot;arma de fuego;1;23;6;2017;6
boyaca;puerto boyaca;arma de fuego;1;26;6;2017;2
cordoba;lorica;arma de fuego;3;12;7;2017;4
tolima;ibague (ct);arma de fuego;1;13;7;2017;5
antioquia;medellin (ct);sin empleo de armas;1;13;7;2017;5
cordoba;monteria (ct);arma de fuego;1;14;7;2017;6
magdalena;santa marta (ct);contundentes;1;14;7;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;17;7;2017;2
sucre;morroa;contundentes;1;19;7;2017;4
cundinamarca;ricaurte;arma de fuego;1;21;7;2017;6
cesar;valledupar (ct);contundentes;1;21;7;2017;6
cundinamarca;girardot;arma de fuego;1;26;7;2017;4
cordoba;chinu;arma de fuego;1;28;7;2017;6
sucre;caimito;arma de fuego;1;28;7;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;2;8;2017;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;8;8;2017;3
cauca;caloto;arma de fuego;1;10;8;2017;5
bolivar;turbaco;arma de fuego;1;16;8;2017;4
cundinamarca;soacha;arma de fuego;1;16;8;2017;4
atlantico;repelon;arma de fuego;1;22;8;2017;3
cesar;valledupar (ct);arma de fuego;1;23;8;2017;4
bolivar;cartagena (ct);arma de fuego;1;24;8;2017;5
tolima;ibague (ct);arma de fuego;1;24;8;2017;5
antioquia;medellin (ct);arma de fuego;1;25;8;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;8;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;29;8;2017;3
atlantico;galapa;arma de fuego;1;30;8;2017;4
guajira;riohacha (ct);sin empleo de armas;1;31;8;2017;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;1;9;2017;6
valle;cali (ct);contundentes;1;1;9;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;9;2017;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;6;9;2017;4
atlantico;barranquilla (ct);arma de fuego;1;7;9;2017;5
cordoba;lorica;arma de fuego;1;8;9;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;8;9;2017;6
norte de santander;cucuta (ct);arma de fuego;1;8;9;2017;6
atlantico;soledad;arma de fuego;1;13;9;2017;4
atlantico;puerto colombia;arma de fuego;1;14;9;2017;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;9;2017;5
santander;floridablanca;arma de fuego;1;14;9;2017;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;15;9;2017;6
cundinamarca;soacha;arma de fuego;1;15;9;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;9;2017;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;9;2017;3
santander;bucaramanga (ct);arma de fuego;1;20;9;2017;4
atlantico;barranquilla (ct);arma de fuego;1;21;9;2017;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;21;9;2017;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;22;9;2017;6
cundinamarca;soacha;arma de fuego;1;25;9;2017;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;9;2017;3
atlantico;barranquilla (ct);arma de fuego;1;27;9;2017;4
cordoba;monteria (ct);arma de fuego;1;27;9;2017;4
guajira;riohacha (ct);sin empleo de armas;1;27;9;2017;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;9;2017;5
guajira;fonseca;arma de fuego;1;28;9;2017;5
sucre;san marcos;arma de fuego;1;29;9;2017;6
santander;bucaramanga (ct);sin empleo de armas;1;29;9;2017;6
atlantico;barranquilla (ct);arma de fuego;1;30;9;2017;7
bolivar;cartagena (ct);arma de fuego;2;4;10;2017;4
cesar;aguachica;arma de fuego;1;4;10;2017;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;10;2017;5
cundinamarca;la mesa;arma de fuego;1;5;10;2017;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;6;10;2017;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;10;10;2017;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;11;10;2017;4
antioquia;medellin (ct);sin empleo de armas;1;11;10;2017;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;13;10;2017;6
bolivar;arjona;arma de fuego;1;17;10;2017;3
