departamento;hurtos
cundinamarca;941970
antioquia;198088
valle;180217
atlantico;100465
santander;63499
meta;51228
bolivar;46375
narino;45358
tolima;43865
huila;38387
risaralda;31233
magdalena;30279
norte de santander;28678
cauca;27619
cesar;25164
caldas;21203
sucre;19765
quindio;19165
cordoba;15077
boyaca;12405
caqueta;11696
casanare;11591
guajira;8004
choco;6816
san andres;3844
arauca;3036
putumayo;1684
amazonas;1182
guaviare;806
guainia;674
vichada;470
vaupes;190